Drug Narcotics Criminal Activity Type,,
Current date: 9/3/2019 5:53:52 PM (Mountain Daylight Time),,
Jurisdiction by Geography: Colorado,,
Incident Date: 2012,,
Offense Type: Drug/Narcotic Violations,,
Criminal Activity Type,Number of Crimes,"Crime Rate (per 100,000)"
Buying/Receiving,95,1.83
Cultivating/Manufacturing/Publishing,309,5.95
Distributing/Selling,"1,772",34.13
Exploiting Children,3,0.06
Operating/Promoting/Assisting,16,0.31
Possessing/Concealing,"17,214",331.59
Transporting/Transmitting/Importing,68,1.31
Using/Consuming,"1,712",32.98
Juvenile Gang,,
Other Gang,,
No Gang Involvement,,
Animal Cruelty Simple/Gross Neglect,,
Animal Cruelty Intentional Abuse and Torture,,
Animal Cruelty Organized Abuse,,
Animal Sexual Abuse (Bestiality),,
Missing,,
