Drug Narcotics Criminal Activity Type,,
Current date: 9/3/2019 5:53:09 PM (Mountain Daylight Time),,
Jurisdiction by Geography: Colorado,,
Incident Date: 2011,,
Offense Type: Drug/Narcotic Violations,,
Criminal Activity Type,Number of Crimes,"Crime Rate (per 100,000)"
Buying/Receiving,47,0.92
Cultivating/Manufacturing/Publishing,370,7.23
Distributing/Selling,"1,449",28.3
Exploiting Children,,
Operating/Promoting/Assisting,13,0.25
Possessing/Concealing,"15,014",293.26
Transporting/Transmitting/Importing,78,1.52
Using/Consuming,"1,627",31.78
Juvenile Gang,,
Other Gang,,
No Gang Involvement,,
Animal Cruelty Simple/Gross Neglect,,
Animal Cruelty Intentional Abuse and Torture,,
Animal Cruelty Organized Abuse,,
Animal Sexual Abuse (Bestiality),,
Missing,,
