Drug Narcotics Criminal Activity Type,,
Current date: 9/3/2019 5:56:22 PM (Mountain Daylight Time),,
Jurisdiction by Geography: Colorado,,
Incident Date: 2015,,
Offense Type: Drug/Narcotic Violations,,
Criminal Activity Type,Number of Crimes,"Crime Rate (per 100,000)"
Buying/Receiving,107,1.96
Cultivating/Manufacturing/Publishing,300,5.49
Distributing/Selling,"1,661",30.37
Exploiting Children,4,0.07
Operating/Promoting/Assisting,24,0.44
Possessing/Concealing,"14,721",269.2
Transporting/Transmitting/Importing,111,2.03
Using/Consuming,"2,319",42.41
Juvenile Gang,,
Other Gang,,
No Gang Involvement,,
Animal Cruelty Simple/Gross Neglect,,
Animal Cruelty Intentional Abuse and Torture,,
Animal Cruelty Organized Abuse,,
Animal Sexual Abuse (Bestiality),,
Missing,,
