Criminal Activity Type,Number of Crimes,"Crime Rate (per 100,000)"
Buying/Receiving,62,1.23
Cultivating/Manufacturing/Publishing,254,5.05
Distributing/Selling,"1,800",35.8
Exploiting Children,2,0.04
Operating/Promoting/Assisting,13,0.26
Possessing/Concealing,"14,828",294.89
Transporting/Transmitting/Importing,67,1.33
Using/Consuming,"1,424",28.32
Juvenile Gang,,
Other Gang,,
No Gang Involvement,,
Animal Cruelty Simple/Gross Neglect,,
Animal Cruelty Intentional Abuse and Torture,,
Animal Cruelty Organized Abuse,,
Animal Sexual Abuse (Bestiality),,
Missing,,
